id,conditions,conclusion,priority,category
1473,"{""属性138"": true, ""特征135"": true, ""特征3"": true}",鹿变种135,3,general
1474,"{""属性139"": true, ""特征135"": true, ""特征4"": true}",象变种135,3,general
1475,"{""属性140"": true, ""特征135"": true, ""特征5"": true}",鹰变种135,3,general
1476,"{""属性141"": true, ""特征135"": true, ""特征6"": true}",蛇变种135,3,general
1477,"{""属性142"": true, ""特征135"": true, ""特征7"": true}",鱼变种135,3,general
1478,"{""属性143"": true, ""特征135"": true, ""特征8"": true}",鸟变种135,3,general
1479,"{""属性144"": true, ""特征135"": true, ""特征9"": true}",虫变种135,3,general
1480,"{""属性136"": true, ""特征0"": true, ""特征136"": true}",熊变种136,3,general
1481,"{""属性137"": true, ""特征1"": true, ""特征136"": true}",狼变种136,3,general
1482,"{""属性138"": true, ""特征136"": true, ""特征2"": true}",豹变种136,3,general
1483,"{""属性139"": true, ""特征136"": true, ""特征3"": true}",鹿变种136,3,general
1484,"{""属性140"": true, ""特征136"": true, ""特征4"": true}",象变种136,3,general
1485,"{""属性141"": true, ""特征136"": true, ""特征5"": true}",鹰变种136,3,general
1486,"{""属性142"": true, ""特征136"": true, ""特征6"": true}",蛇变种136,3,general
1487,"{""属性143"": true, ""特征136"": true, ""特征7"": true}",鱼变种136,3,general
1488,"{""属性144"": true, ""特征136"": true, ""特征8"": true}",鸟变种136,3,general
1489,"{""属性145"": true, ""特征136"": true, ""特征9"": true}",虫变种136,3,general
1490,"{""属性137"": true, ""特征0"": true, ""特征137"": true}",熊变种137,3,general
1491,"{""属性138"": true, ""特征1"": true, ""特征137"": true}",狼变种137,3,general
1492,"{""属性139"": true, ""特征137"": true, ""特征2"": true}",豹变种137,3,general
1493,"{""属性140"": true, ""特征137"": true, ""特征3"": true}",鹿变种137,3,general
1494,"{""属性141"": true, ""特征137"": true, ""特征4"": true}",象变种137,3,general
1495,"{""属性142"": true, ""特征137"": true, ""特征5"": true}",鹰变种137,3,general
1496,"{""属性143"": true, ""特征137"": true, ""特征6"": true}",蛇变种137,3,general
1497,"{""属性144"": true, ""特征137"": true, ""特征7"": true}",鱼变种137,3,general
1498,"{""属性145"": true, ""特征137"": true, ""特征8"": true}",鸟变种137,3,general
1499,"{""属性146"": true, ""特征137"": true, ""特征9"": true}",虫变种137,3,general
1500,"{""属性138"": true, ""特征0"": true, ""特征138"": true}",熊变种138,3,general
1501,"{""属性139"": true, ""特征1"": true, ""特征138"": true}",狼变种138,3,general
1502,"{""属性140"": true, ""特征138"": true, ""特征2"": true}",豹变种138,3,general
1503,"{""属性141"": true, ""特征138"": true, ""特征3"": true}",鹿变种138,3,general
1504,"{""属性142"": true, ""特征138"": true, ""特征4"": true}",象变种138,3,general
1505,"{""属性143"": true, ""特征138"": true, ""特征5"": true}",鹰变种138,3,general
1506,"{""属性144"": true, ""特征138"": true, ""特征6"": true}",蛇变种138,3,general
1507,"{""属性145"": true, ""特征138"": true, ""特征7"": true}",鱼变种138,3,general
1508,"{""属性146"": true, ""特征138"": true, ""特征8"": true}",鸟变种138,3,general
1509,"{""属性147"": true, ""特征138"": true, ""特征9"": true}",虫变种138,3,general
1510,"{""属性139"": true, ""特征0"": true, ""特征139"": true}",熊变种139,3,general
1511,"{""属性140"": true, ""特征1"": true, ""特征139"": true}",狼变种139,3,general
1512,"{""属性141"": true, ""特征139"": true, ""特征2"": true}",豹变种139,3,general
1513,"{""属性142"": true, ""特征139"": true, ""特征3"": true}",鹿变种139,3,general
1514,"{""属性143"": true, ""特征139"": true, ""特征4"": true}",象变种139,3,general
1515,"{""属性144"": true, ""特征139"": true, ""特征5"": true}",鹰变种139,3,general
1516,"{""属性145"": true, ""特征139"": true, ""特征6"": true}",蛇变种139,3,general
1517,"{""属性146"": true, ""特征139"": true, ""特征7"": true}",鱼变种139,3,general
1518,"{""属性147"": true, ""特征139"": true, ""特征8"": true}",鸟变种139,3,general
1519,"{""属性148"": true, ""特征139"": true, ""特征9"": true}",虫变种139,3,general
1520,"{""属性140"": true, ""特征0"": true, ""特征140"": true}",熊变种140,3,general
1521,"{""属性141"": true, ""特征1"": true, ""特征140"": true}",狼变种140,3,general
1522,"{""属性142"": true, ""特征140"": true, ""特征2"": true}",豹变种140,3,general
1523,"{""属性143"": true, ""特征140"": true, ""特征3"": true}",鹿变种140,3,general
1524,"{""属性144"": true, ""特征140"": true, ""特征4"": true}",象变种140,3,general
1525,"{""属性145"": true, ""特征140"": true, ""特征5"": true}",鹰变种140,3,general
1526,"{""属性146"": true, ""特征140"": true, ""特征6"": true}",蛇变种140,3,general
1527,"{""属性147"": true, ""特征140"": true, ""特征7"": true}",鱼变种140,3,general
1528,"{""属性148"": true, ""特征140"": true, ""特征8"": true}",鸟变种140,3,general
1529,"{""属性149"": true, ""特征140"": true, ""特征9"": true}",虫变种140,3,general
1530,"{""属性141"": true, ""特征0"": true, ""特征141"": true}",熊变种141,3,general
1531,"{""属性142"": true, ""特征1"": true, ""特征141"": true}",狼变种141,3,general
1532,"{""属性143"": true, ""特征141"": true, ""特征2"": true}",豹变种141,3,general
1533,"{""属性144"": true, ""特征141"": true, ""特征3"": true}",鹿变种141,3,general
1534,"{""属性145"": true, ""特征141"": true, ""特征4"": true}",象变种141,3,general
1535,"{""属性146"": true, ""特征141"": true, ""特征5"": true}",鹰变种141,3,general
1536,"{""属性147"": true, ""特征141"": true, ""特征6"": true}",蛇变种141,3,general
1537,"{""属性148"": true, ""特征141"": true, ""特征7"": true}",鱼变种141,3,general
1538,"{""属性149"": true, ""特征141"": true, ""特征8"": true}",鸟变种141,3,general
1539,"{""属性150"": true, ""特征141"": true, ""特征9"": true}",虫变种141,3,general
1540,"{""属性142"": true, ""特征0"": true, ""特征142"": true}",熊变种142,3,general
1541,"{""属性143"": true, ""特征1"": true, ""特征142"": true}",狼变种142,3,general
1542,"{""属性144"": true, ""特征142"": true, ""特征2"": true}",豹变种142,3,general
1543,"{""属性145"": true, ""特征142"": true, ""特征3"": true}",鹿变种142,3,general
1544,"{""属性146"": true, ""特征142"": true, ""特征4"": true}",象变种142,3,general
1545,"{""属性147"": true, ""特征142"": true, ""特征5"": true}",鹰变种142,3,general
1546,"{""属性148"": true, ""特征142"": true, ""特征6"": true}",蛇变种142,3,general
1547,"{""属性149"": true, ""特征142"": true, ""特征7"": true}",鱼变种142,3,general
1548,"{""属性150"": true, ""特征142"": true, ""特征8"": true}",鸟变种142,3,general
1549,"{""属性151"": true, ""特征142"": true, ""特征9"": true}",虫变种142,3,general
1550,"{""属性143"": true, ""特征0"": true, ""特征143"": true}",熊变种143,3,general
1551,"{""属性144"": true, ""特征1"": true, ""特征143"": true}",狼变种143,3,general
1552,"{""属性145"": true, ""特征143"": true, ""特征2"": true}",豹变种143,3,general
1553,"{""属性146"": true, ""特征143"": true, ""特征3"": true}",鹿变种143,3,general
1554,"{""属性147"": true, ""特征143"": true, ""特征4"": true}",象变种143,3,general
1555,"{""属性148"": true, ""特征143"": true, ""特征5"": true}",鹰变种143,3,general
1556,"{""属性149"": true, ""特征143"": true, ""特征6"": true}",蛇变种143,3,general
1557,"{""属性150"": true, ""特征143"": true, ""特征7"": true}",鱼变种143,3,general
1558,"{""属性151"": true, ""特征143"": true, ""特征8"": true}",鸟变种143,3,general
1559,"{""属性152"": true, ""特征143"": true, ""特征9"": true}",虫变种143,3,general
1560,"{""属性144"": true, ""特征0"": true, ""特征144"": true}",熊变种144,3,general
1561,"{""属性145"": true, ""特征1"": true, ""特征144"": true}",狼变种144,3,general
1562,"{""属性146"": true, ""特征144"": true, ""特征2"": true}",豹变种144,3,general
1563,"{""属性147"": true, ""特征144"": true, ""特征3"": true}",鹿变种144,3,general
1564,"{""属性148"": true, ""特征144"": true, ""特征4"": true}",象变种144,3,general
1565,"{""属性149"": true, ""特征144"": true, ""特征5"": true}",鹰变种144,3,general
1566,"{""属性150"": true, ""特征144"": true, ""特征6"": true}",蛇变种144,3,general
1567,"{""属性151"": true, ""特征144"": true, ""特征7"": true}",鱼变种144,3,general
1568,"{""属性152"": true, ""特征144"": true, ""特征8"": true}",鸟变种144,3,general
1569,"{""属性153"": true, ""特征144"": true, ""特征9"": true}",虫变种144,3,general
1570,"{""属性145"": true, ""特征0"": true, ""特征145"": true}",熊变种145,3,general
1571,"{""属性146"": true, ""特征1"": true, ""特征145"": true}",狼变种145,3,general
1572,"{""属性147"": true, ""特征145"": true, ""特征2"": true}",豹变种145,3,general
1573,"{""属性148"": true, ""特征145"": true, ""特征3"": true}",鹿变种145,3,general
1574,"{""属性149"": true, ""特征145"": true, ""特征4"": true}",象变种145,3,general
1575,"{""属性150"": true, ""特征145"": true, ""特征5"": true}",鹰变种145,3,general
1576,"{""属性151"": true, ""特征145"": true, ""特征6"": true}",蛇变种145,3,general
1577,"{""属性152"": true, ""特征145"": true, ""特征7"": true}",鱼变种145,3,general
1578,"{""属性153"": true, ""特征145"": true, ""特征8"": true}",鸟变种145,3,general
1579,"{""属性154"": true, ""特征145"": true, ""特征9"": true}",虫变种145,3,general
1580,"{""属性146"": true, ""特征0"": true, ""特征146"": true}",熊变种146,3,general
1581,"{""属性147"": true, ""特征1"": true, ""特征146"": true}",狼变种146,3,general
1582,"{""属性148"": true, ""特征146"": true, ""特征2"": true}",豹变种146,3,general
1583,"{""属性149"": true, ""特征146"": true, ""特征3"": true}",鹿变种146,3,general
1584,"{""属性150"": true, ""特征146"": true, ""特征4"": true}",象变种146,3,general
1585,"{""属性151"": true, ""特征146"": true, ""特征5"": true}",鹰变种146,3,general
1586,"{""属性152"": true, ""特征146"": true, ""特征6"": true}",蛇变种146,3,general
1587,"{""属性153"": true, ""特征146"": true, ""特征7"": true}",鱼变种146,3,general
1588,"{""属性154"": true, ""特征146"": true, ""特征8"": true}",鸟变种146,3,general
1589,"{""属性155"": true, ""特征146"": true, ""特征9"": true}",虫变种146,3,general
1590,"{""属性147"": true, ""特征0"": true, ""特征147"": true}",熊变种147,3,general
1591,"{""属性148"": true, ""特征1"": true, ""特征147"": true}",狼变种147,3,general
1592,"{""属性149"": true, ""特征147"": true, ""特征2"": true}",豹变种147,3,general
1593,"{""属性150"": true, ""特征147"": true, ""特征3"": true}",鹿变种147,3,general
1594,"{""属性151"": true, ""特征147"": true, ""特征4"": true}",象变种147,3,general
1595,"{""属性152"": true, ""特征147"": true, ""特征5"": true}",鹰变种147,3,general
1596,"{""属性153"": true, ""特征147"": true, ""特征6"": true}",蛇变种147,3,general
1597,"{""属性154"": true, ""特征147"": true, ""特征7"": true}",鱼变种147,3,general
1598,"{""属性155"": true, ""特征147"": true, ""特征8"": true}",鸟变种147,3,general
1599,"{""属性156"": true, ""特征147"": true, ""特征9"": true}",虫变种147,3,general
1600,"{""属性148"": true, ""特征0"": true, ""特征148"": true}",熊变种148,3,general
1601,"{""属性149"": true, ""特征1"": true, ""特征148"": true}",狼变种148,3,general
1602,"{""属性150"": true, ""特征148"": true, ""特征2"": true}",豹变种148,3,general
1603,"{""属性151"": true, ""特征148"": true, ""特征3"": true}",鹿变种148,3,general
1604,"{""属性152"": true, ""特征148"": true, ""特征4"": true}",象变种148,3,general
1605,"{""属性153"": true, ""特征148"": true, ""特征5"": true}",鹰变种148,3,general
1606,"{""属性154"": true, ""特征148"": true, ""特征6"": true}",蛇变种148,3,general
1607,"{""属性155"": true, ""特征148"": true, ""特征7"": true}",鱼变种148,3,general
1608,"{""属性156"": true, ""特征148"": true, ""特征8"": true}",鸟变种148,3,general
1609,"{""属性157"": true, ""特征148"": true, ""特征9"": true}",虫变种148,3,general
1610,"{""属性149"": true, ""特征0"": true, ""特征149"": true}",熊变种149,3,general
1611,"{""属性150"": true, ""特征1"": true, ""特征149"": true}",狼变种149,3,general
1612,"{""属性151"": true, ""特征149"": true, ""特征2"": true}",豹变种149,3,general
1613,"{""属性152"": true, ""特征149"": true, ""特征3"": true}",鹿变种149,3,general
1614,"{""属性153"": true, ""特征149"": true, ""特征4"": true}",象变种149,3,general
1615,"{""属性154"": true, ""特征149"": true, ""特征5"": true}",鹰变种149,3,general
1616,"{""属性155"": true, ""特征149"": true, ""特征6"": true}",蛇变种149,3,general
1617,"{""属性156"": true, ""特征149"": true, ""特征7"": true}",鱼变种149,3,general
1618,"{""属性157"": true, ""特征149"": true, ""特征8"": true}",鸟变种149,3,general
1619,"{""属性158"": true, ""特征149"": true, ""特征9"": true}",虫变种149,3,general
1620,"{""属性150"": true, ""特征0"": true, ""特征150"": true}",熊变种150,3,general
1621,"{""属性151"": true, ""特征1"": true, ""特征150"": true}",狼变种150,3,general
1622,"{""属性152"": true, ""特征150"": true, ""特征2"": true}",豹变种150,3,general
1623,"{""属性153"": true, ""特征150"": true, ""特征3"": true}",鹿变种150,3,general
1624,"{""属性154"": true, ""特征150"": true, ""特征4"": true}",象变种150,3,general
1625,"{""属性155"": true, ""特征150"": true, ""特征5"": true}",鹰变种150,3,general
1626,"{""属性156"": true, ""特征150"": true, ""特征6"": true}",蛇变种150,3,general
1627,"{""属性157"": true, ""特征150"": true, ""特征7"": true}",鱼变种150,3,general
1628,"{""属性158"": true, ""特征150"": true, ""特征8"": true}",鸟变种150,3,general
1629,"{""属性159"": true, ""特征150"": true, ""特征9"": true}",虫变种150,3,general
1630,"{""属性151"": true, ""特征0"": true, ""特征151"": true}",熊变种151,3,general
1631,"{""属性152"": true, ""特征1"": true, ""特征151"": true}",狼变种151,3,general
1632,"{""属性153"": true, ""特征151"": true, ""特征2"": true}",豹变种151,3,general
1633,"{""属性154"": true, ""特征151"": true, ""特征3"": true}",鹿变种151,3,general
1634,"{""属性155"": true, ""特征151"": true, ""特征4"": true}",象变种151,3,general
1635,"{""属性156"": true, ""特征151"": true, ""特征5"": true}",鹰变种151,3,general
1636,"{""属性157"": true, ""特征151"": true, ""特征6"": true}",蛇变种151,3,general
1637,"{""属性158"": true, ""特征151"": true, ""特征7"": true}",鱼变种151,3,general
1638,"{""属性159"": true, ""特征151"": true, ""特征8"": true}",鸟变种151,3,general
1639,"{""属性160"": true, ""特征151"": true, ""特征9"": true}",虫变种151,3,general
1640,"{""属性152"": true, ""特征0"": true, ""特征152"": true}",熊变种152,3,general
1641,"{""属性153"": true, ""特征1"": true, ""特征152"": true}",狼变种152,3,general
1642,"{""属性154"": true, ""特征152"": true, ""特征2"": true}",豹变种152,3,general
1643,"{""属性155"": true, ""特征152"": true, ""特征3"": true}",鹿变种152,3,general
1644,"{""属性156"": true, ""特征152"": true, ""特征4"": true}",象变种152,3,general
1645,"{""属性157"": true, ""特征152"": true, ""特征5"": true}",鹰变种152,3,general
1646,"{""属性158"": true, ""特征152"": true, ""特征6"": true}",蛇变种152,3,general
1647,"{""属性159"": true, ""特征152"": true, ""特征7"": true}",鱼变种152,3,general
1648,"{""属性160"": true, ""特征152"": true, ""特征8"": true}",鸟变种152,3,general
1649,"{""属性161"": true, ""特征152"": true, ""特征9"": true}",虫变种152,3,general
1650,"{""属性153"": true, ""特征0"": true, ""特征153"": true}",熊变种153,3,general
1651,"{""属性154"": true, ""特征1"": true, ""特征153"": true}",狼变种153,3,general
1652,"{""属性155"": true, ""特征153"": true, ""特征2"": true}",豹变种153,3,general
1653,"{""属性156"": true, ""特征153"": true, ""特征3"": true}",鹿变种153,3,general
1654,"{""属性157"": true, ""特征153"": true, ""特征4"": true}",象变种153,3,general
1655,"{""属性158"": true, ""特征153"": true, ""特征5"": true}",鹰变种153,3,general
1656,"{""属性159"": true, ""特征153"": true, ""特征6"": true}",蛇变种153,3,general
1657,"{""属性160"": true, ""特征153"": true, ""特征7"": true}",鱼变种153,3,general
1658,"{""属性161"": true, ""特征153"": true, ""特征8"": true}",鸟变种153,3,general
1659,"{""属性162"": true, ""特征153"": true, ""特征9"": true}",虫变种153,3,general
1660,"{""属性154"": true, ""特征0"": true, ""特征154"": true}",熊变种154,3,general
1661,"{""属性155"": true, ""特征1"": true, ""特征154"": true}",狼变种154,3,general
1662,"{""属性156"": true, ""特征154"": true, ""特征2"": true}",豹变种154,3,general
1663,"{""属性157"": true, ""特征154"": true, ""特征3"": true}",鹿变种154,3,general
1664,"{""属性158"": true, ""特征154"": true, ""特征4"": true}",象变种154,3,general
1665,"{""属性159"": true, ""特征154"": true, ""特征5"": true}",鹰变种154,3,general
1666,"{""属性160"": true, ""特征154"": true, ""特征6"": true}",蛇变种154,3,general
1667,"{""属性161"": true, ""特征154"": true, ""特征7"": true}",鱼变种154,3,general
1668,"{""属性162"": true, ""特征154"": true, ""特征8"": true}",鸟变种154,3,general
1669,"{""属性163"": true, ""特征154"": true, ""特征9"": true}",虫变种154,3,general
1670,"{""属性155"": true, ""特征0"": true, ""特征155"": true}",熊变种155,3,general
1671,"{""属性156"": true, ""特征1"": true, ""特征155"": true}",狼变种155,3,general
1672,"{""属性157"": true, ""特征155"": true, ""特征2"": true}",豹变种155,3,general
1673,"{""属性158"": true, ""特征155"": true, ""特征3"": true}",鹿变种155,3,general
1674,"{""属性159"": true, ""特征155"": true, ""特征4"": true}",象变种155,3,general
1675,"{""属性160"": true, ""特征155"": true, ""特征5"": true}",鹰变种155,3,general
1676,"{""属性161"": true, ""特征155"": true, ""特征6"": true}",蛇变种155,3,general
1677,"{""属性162"": true, ""特征155"": true, ""特征7"": true}",鱼变种155,3,general
1678,"{""属性163"": true, ""特征155"": true, ""特征8"": true}",鸟变种155,3,general
1679,"{""属性164"": true, ""特征155"": true, ""特征9"": true}",虫变种155,3,general
1680,"{""属性156"": true, ""特征0"": true, ""特征156"": true}",熊变种156,3,general
1681,"{""属性157"": true, ""特征1"": true, ""特征156"": true}",狼变种156,3,general
1682,"{""属性158"": true, ""特征156"": true, ""特征2"": true}",豹变种156,3,general
1683,"{""属性159"": true, ""特征156"": true, ""特征3"": true}",鹿变种156,3,general
1684,"{""属性160"": true, ""特征156"": true, ""特征4"": true}",象变种156,3,general
1685,"{""属性161"": true, ""特征156"": true, ""特征5"": true}",鹰变种156,3,general
1686,"{""属性162"": true, ""特征156"": true, ""特征6"": true}",蛇变种156,3,general
1687,"{""属性163"": true, ""特征156"": true, ""特征7"": true}",鱼变种156,3,general
1688,"{""属性164"": true, ""特征156"": true, ""特征8"": true}",鸟变种156,3,general
1689,"{""属性165"": true, ""特征156"": true, ""特征9"": true}",虫变种156,3,general
1690,"{""属性157"": true, ""特征0"": true, ""特征157"": true}",熊变种157,3,general
1691,"{""属性158"": true, ""特征1"": true, ""特征157"": true}",狼变种157,3,general
1692,"{""属性159"": true, ""特征157"": true, ""特征2"": true}",豹变种157,3,general
1693,"{""属性160"": true, ""特征157"": true, ""特征3"": true}",鹿变种157,3,general
1694,"{""属性161"": true, ""特征157"": true, ""特征4"": true}",象变种157,3,general
1695,"{""属性162"": true, ""特征157"": true, ""特征5"": true}",鹰变种157,3,general
1696,"{""属性163"": true, ""特征157"": true, ""特征6"": true}",蛇变种157,3,general
1697,"{""属性164"": true, ""特征157"": true, ""特征7"": true}",鱼变种157,3,general
1698,"{""属性165"": true, ""特征157"": true, ""特征8"": true}",鸟变种157,3,general
1699,"{""属性166"": true, ""特征157"": true, ""特征9"": true}",虫变种157,3,general
1700,"{""属性158"": true, ""特征0"": true, ""特征158"": true}",熊变种158,3,general
1701,"{""属性159"": true, ""特征1"": true, ""特征158"": true}",狼变种158,3,general
1702,"{""属性160"": true, ""特征158"": true, ""特征2"": true}",豹变种158,3,general
1703,"{""属性161"": true, ""特征158"": true, ""特征3"": true}",鹿变种158,3,general
1704,"{""属性162"": true, ""特征158"": true, ""特征4"": true}",象变种158,3,general
1705,"{""属性163"": true, ""特征158"": true, ""特征5"": true}",鹰变种158,3,general
1706,"{""属性164"": true, ""特征158"": true, ""特征6"": true}",蛇变种158,3,general
1707,"{""属性165"": true, ""特征158"": true, ""特征7"": true}",鱼变种158,3,general
1708,"{""属性166"": true, ""特征158"": true, ""特征8"": true}",鸟变种158,3,general
1709,"{""属性167"": true, ""特征158"": true, ""特征9"": true}",虫变种158,3,general
1710,"{""属性159"": true, ""特征0"": true, ""特征159"": true}",熊变种159,3,general
1711,"{""属性160"": true, ""特征1"": true, ""特征159"": true}",狼变种159,3,general
1712,"{""属性161"": true, ""特征159"": true, ""特征2"": true}",豹变种159,3,general
1713,"{""属性162"": true, ""特征159"": true, ""特征3"": true}",鹿变种159,3,general
1714,"{""属性163"": true, ""特征159"": true, ""特征4"": true}",象变种159,3,general
1715,"{""属性164"": true, ""特征159"": true, ""特征5"": true}",鹰变种159,3,general
1716,"{""属性165"": true, ""特征159"": true, ""特征6"": true}",蛇变种159,3,general
1717,"{""属性166"": true, ""特征159"": true, ""特征7"": true}",鱼变种159,3,general
1718,"{""属性167"": true, ""特征159"": true, ""特征8"": true}",鸟变种159,3,general
1719,"{""属性168"": true, ""特征159"": true, ""特征9"": true}",虫变种159,3,general
1720,"{""属性160"": true, ""特征0"": true, ""特征160"": true}",熊变种160,3,general
1721,"{""属性161"": true, ""特征1"": true, ""特征160"": true}",狼变种160,3,general
1722,"{""属性162"": true, ""特征160"": true, ""特征2"": true}",豹变种160,3,general
1723,"{""属性163"": true, ""特征160"": true, ""特征3"": true}",鹿变种160,3,general
1724,"{""属性164"": true, ""特征160"": true, ""特征4"": true}",象变种160,3,general
1725,"{""属性165"": true, ""特征160"": true, ""特征5"": true}",鹰变种160,3,general
1726,"{""属性166"": true, ""特征160"": true, ""特征6"": true}",蛇变种160,3,general
1727,"{""属性167"": true, ""特征160"": true, ""特征7"": true}",鱼变种160,3,general
1728,"{""属性168"": true, ""特征160"": true, ""特征8"": true}",鸟变种160,3,general
1729,"{""属性169"": true, ""特征160"": true, ""特征9"": true}",虫变种160,3,general
1730,"{""属性161"": true, ""特征0"": true, ""特征161"": true}",熊变种161,3,general
1731,"{""属性162"": true, ""特征1"": true, ""特征161"": true}",狼变种161,3,general
1732,"{""属性163"": true, ""特征161"": true, ""特征2"": true}",豹变种161,3,general
1733,"{""属性164"": true, ""特征161"": true, ""特征3"": true}",鹿变种161,3,general
1734,"{""属性165"": true, ""特征161"": true, ""特征4"": true}",象变种161,3,general
1735,"{""属性166"": true, ""特征161"": true, ""特征5"": true}",鹰变种161,3,general
1736,"{""属性167"": true, ""特征161"": true, ""特征6"": true}",蛇变种161,3,general
1737,"{""属性168"": true, ""特征161"": true, ""特征7"": true}",鱼变种161,3,general
1738,"{""属性169"": true, ""特征161"": true, ""特征8"": true}",鸟变种161,3,general
1739,"{""属性170"": true, ""特征161"": true, ""特征9"": true}",虫变种161,3,general
1740,"{""属性162"": true, ""特征0"": true, ""特征162"": true}",熊变种162,3,general
1741,"{""属性163"": true, ""特征1"": true, ""特征162"": true}",狼变种162,3,general
1742,"{""属性164"": true, ""特征162"": true, ""特征2"": true}",豹变种162,3,general
1743,"{""属性165"": true, ""特征162"": true, ""特征3"": true}",鹿变种162,3,general
1744,"{""属性166"": true, ""特征162"": true, ""特征4"": true}",象变种162,3,general
1745,"{""属性167"": true, ""特征162"": true, ""特征5"": true}",鹰变种162,3,general
1746,"{""属性168"": true, ""特征162"": true, ""特征6"": true}",蛇变种162,3,general
1747,"{""属性169"": true, ""特征162"": true, ""特征7"": true}",鱼变种162,3,general
1748,"{""属性170"": true, ""特征162"": true, ""特征8"": true}",鸟变种162,3,general
1749,"{""属性171"": true, ""特征162"": true, ""特征9"": true}",虫变种162,3,general
1750,"{""属性163"": true, ""特征0"": true, ""特征163"": true}",熊变种163,3,general
1751,"{""属性164"": true, ""特征1"": true, ""特征163"": true}",狼变种163,3,general
1752,"{""属性165"": true, ""特征163"": true, ""特征2"": true}",豹变种163,3,general
1753,"{""属性166"": true, ""特征163"": true, ""特征3"": true}",鹿变种163,3,general
1754,"{""属性167"": true, ""特征163"": true, ""特征4"": true}",象变种163,3,general
1755,"{""属性168"": true, ""特征163"": true, ""特征5"": true}",鹰变种163,3,general
1756,"{""属性169"": true, ""特征163"": true, ""特征6"": true}",蛇变种163,3,general
1757,"{""属性170"": true, ""特征163"": true, ""特征7"": true}",鱼变种163,3,general
1758,"{""属性171"": true, ""特征163"": true, ""特征8"": true}",鸟变种163,3,general
1759,"{""属性172"": true, ""特征163"": true, ""特征9"": true}",虫变种163,3,general
1760,"{""属性164"": true, ""特征0"": true, ""特征164"": true}",熊变种164,3,general
1761,"{""属性165"": true, ""特征1"": true, ""特征164"": true}",狼变种164,3,general
1762,"{""属性166"": true, ""特征164"": true, ""特征2"": true}",豹变种164,3,general
1763,"{""属性167"": true, ""特征164"": true, ""特征3"": true}",鹿变种164,3,general
1764,"{""属性168"": true, ""特征164"": true, ""特征4"": true}",象变种164,3,general
1765,"{""属性169"": true, ""特征164"": true, ""特征5"": true}",鹰变种164,3,general
1766,"{""属性170"": true, ""特征164"": true, ""特征6"": true}",蛇变种164,3,general
1767,"{""属性171"": true, ""特征164"": true, ""特征7"": true}",鱼变种164,3,general
1768,"{""属性172"": true, ""特征164"": true, ""特征8"": true}",鸟变种164,3,general
1769,"{""属性173"": true, ""特征164"": true, ""特征9"": true}",虫变种164,3,general
1770,"{""属性165"": true, ""特征0"": true, ""特征165"": true}",熊变种165,3,general
1771,"{""属性166"": true, ""特征1"": true, ""特征165"": true}",狼变种165,3,general
1772,"{""属性167"": true, ""特征165"": true, ""特征2"": true}",豹变种165,3,general
1773,"{""属性168"": true, ""特征165"": true, ""特征3"": true}",鹿变种165,3,general
1774,"{""属性169"": true, ""特征165"": true, ""特征4"": true}",象变种165,3,general
1775,"{""属性170"": true, ""特征165"": true, ""特征5"": true}",鹰变种165,3,general
1776,"{""属性171"": true, ""特征165"": true, ""特征6"": true}",蛇变种165,3,general
1777,"{""属性172"": true, ""特征165"": true, ""特征7"": true}",鱼变种165,3,general
1778,"{""属性173"": true, ""特征165"": true, ""特征8"": true}",鸟变种165,3,general
1779,"{""属性174"": true, ""特征165"": true, ""特征9"": true}",虫变种165,3,general
1780,"{""属性166"": true, ""特征0"": true, ""特征166"": true}",熊变种166,3,general
1781,"{""属性167"": true, ""特征1"": true, ""特征166"": true}",狼变种166,3,general
1782,"{""属性168"": true, ""特征166"": true, ""特征2"": true}",豹变种166,3,general
1783,"{""属性169"": true, ""特征166"": true, ""特征3"": true}",鹿变种166,3,general
1784,"{""属性170"": true, ""特征166"": true, ""特征4"": true}",象变种166,3,general
1785,"{""属性171"": true, ""特征166"": true, ""特征5"": true}",鹰变种166,3,general
1786,"{""属性172"": true, ""特征166"": true, ""特征6"": true}",蛇变种166,3,general
1787,"{""属性173"": true, ""特征166"": true, ""特征7"": true}",鱼变种166,3,general
1788,"{""属性174"": true, ""特征166"": true, ""特征8"": true}",鸟变种166,3,general
1789,"{""属性175"": true, ""特征166"": true, ""特征9"": true}",虫变种166,3,general
1790,"{""属性167"": true, ""特征0"": true, ""特征167"": true}",熊变种167,3,general
1791,"{""属性168"": true, ""特征1"": true, ""特征167"": true}",狼变种167,3,general
1792,"{""属性169"": true, ""特征167"": true, ""特征2"": true}",豹变种167,3,general
1793,"{""属性170"": true, ""特征167"": true, ""特征3"": true}",鹿变种167,3,general
1794,"{""属性171"": true, ""特征167"": true, ""特征4"": true}",象变种167,3,general
1795,"{""属性172"": true, ""特征167"": true, ""特征5"": true}",鹰变种167,3,general
1796,"{""属性173"": true, ""特征167"": true, ""特征6"": true}",蛇变种167,3,general
1797,"{""属性174"": true, ""特征167"": true, ""特征7"": true}",鱼变种167,3,general
1798,"{""属性175"": true, ""特征167"": true, ""特征8"": true}",鸟变种167,3,general
1799,"{""属性176"": true, ""特征167"": true, ""特征9"": true}",虫变种167,3,general
1800,"{""属性168"": true, ""特征0"": true, ""特征168"": true}",熊变种168,3,general
1801,"{""属性169"": true, ""特征1"": true, ""特征168"": true}",狼变种168,3,general
